GENE SYMBOL	GENE ID (HGNC)	DISEASE LABEL	DISEASE ID (MONDO)	MOI	SOP	CLASSIFICATION	ONLINE REPORT	CLASSIFICATION DATE	GCEP
GENE175	HGNC:1175	Synthetic disease 175	MONDO:7000175	Autosomal dominant	SOP9	Definitive	https://example.org/GENE175	2023-01-01	Synthetic GCEP
GENE176	HGNC:1176	Synthetic disease 176	MONDO:7000176	Autosomal dominant	SOP9	Strong	https://example.org/GENE176	2023-01-01	Synthetic GCEP
GENE177	HGNC:1177	Synthetic disease 177	MONDO:7000177	Autosomal dominant	SOP9	Moderate	https://example.org/GENE177	2023-01-01	Synthetic GCEP
GENE178	HGNC:1178	Synthetic disease 178	MONDO:7000178	Autosomal dominant	SOP9	Limited	https://example.org/GENE178	2023-01-01	Synthetic GCEP
GENE179	HGNC:1179	Synthetic disease 179	MONDO:7000179	Autosomal dominant	SOP9	Disputed	https://example.org/GENE179	2023-01-01	Synthetic GCEP
GENE180	HGNC:1180	Synthetic disease 180	MONDO:7000180	Autosomal dominant	SOP9	Definitive	https://example.org/GENE180	2023-01-01	Synthetic GCEP
GENE181	HGNC:1181	Synthetic disease 181	MONDO:7000181	Autosomal dominant	SOP9	Strong	https://example.org/GENE181	2023-01-01	Synthetic GCEP
GENE182	HGNC:1182	Synthetic disease 182	MONDO:7000182	Autosomal dominant	SOP9	Moderate	https://example.org/GENE182	2023-01-01	Synthetic GCEP
GENE183	HGNC:1183	Synthetic disease 183	MONDO:7000183	Autosomal dominant	SOP9	Limited	https://example.org/GENE183	2023-01-01	Synthetic GCEP
GENE184	HGNC:1184	Synthetic disease 184	MONDO:7000184	Autosomal dominant	SOP9	Disputed	https://example.org/GENE184	2023-01-01	Synthetic GCEP
GENE185	HGNC:1185	Synthetic disease 185	MONDO:7000185	Autosomal dominant	SOP9	Definitive	https://example.org/GENE185	2023-01-01	Synthetic GCEP
GENE186	HGNC:1186	Synthetic disease 186	MONDO:7000186	Autosomal dominant	SOP9	Strong	https://example.org/GENE186	2023-01-01	Synthetic GCEP
GENE187	HGNC:1187	Synthetic disease 187	MONDO:7000187	Autosomal dominant	SOP9	Moderate	https://example.org/GENE187	2023-01-01	Synthetic GCEP
GENE188	HGNC:1188	Synthetic disease 188	MONDO:7000188	Autosomal dominant	SOP9	Limited	https://example.org/GENE188	2023-01-01	Synthetic GCEP
GENE189	HGNC:1189	Synthetic disease 189	MONDO:7000189	Autosomal dominant	SOP9	Disputed	https://example.org/GENE189	2023-01-01	Synthetic GCEP
GENE190	HGNC:1190	Synthetic disease 190	MONDO:7000190	Autosomal dominant	SOP9	Definitive	https://example.org/GENE190	2023-01-01	Synthetic GCEP
GENE191	HGNC:1191	Synthetic disease 191	MONDO:7000191	Autosomal dominant	SOP9	Strong	https://example.org/GENE191	2023-01-01	Synthetic GCEP
GENE192	HGNC:1192	Synthetic disease 192	MONDO:7000192	Autosomal dominant	SOP9	Moderate	https://example.org/GENE192	2023-01-01	Synthetic GCEP
GENE193	HGNC:1193	Synthetic disease 193	MONDO:7000193	Autosomal dominant	SOP9	Limited	https://example.org/GENE193	2023-01-01	Synthetic GCEP
GENE194	HGNC:1194	Synthetic disease 194	MONDO:7000194	Autosomal dominant	SOP9	Disputed	https://example.org/GENE194	2023-01-01	Synthetic GCEP
GENE195	HGNC:1195	Synthetic disease 195	MONDO:7000195	Autosomal dominant	SOP9	Definitive	https://example.org/GENE195	2023-01-01	Synthetic GCEP
GENE196	HGNC:1196	Synthetic disease 196	MONDO:7000196	Autosomal dominant	SOP9	Strong	https://example.org/GENE196	2023-01-01	Synthetic GCEP
GENE197	HGNC:1197	Synthetic disease 197	MONDO:7000197	Autosomal dominant	SOP9	Moderate	https://example.org/GENE197	2023-01-01	Synthetic GCEP
GENE198	HGNC:1198	Synthetic disease 198	MONDO:7000198	Autosomal dominant	SOP9	Limited	https://example.org/GENE198	2023-01-01	Synthetic GCEP
GENE199	HGNC:1199	Synthetic disease 199	MONDO:7000199	Autosomal dominant	SOP9	Disputed	https://example.org/GENE199	2023-01-01	Synthetic GCEP
GENE200	HGNC:1200	Synthetic disease 200	MONDO:7000200	Autosomal dominant	SOP9	Definitive	https://example.org/GENE200	2023-01-01	Synthetic GCEP
GENE201	HGNC:1201	Synthetic disease 201	MONDO:7000201	Autosomal dominant	SOP9	Strong	https://example.org/GENE201	2023-01-01	Synthetic GCEP
GENE202	HGNC:1202	Synthetic disease 202	MONDO:7000202	Autosomal dominant	SOP9	Moderate	https://example.org/GENE202	2023-01-01	Synthetic GCEP
GENE203	HGNC:1203	Synthetic disease 203	MONDO:7000203	Autosomal dominant	SOP9	Limited	https://example.org/GENE203	2023-01-01	Synthetic GCEP
GENE204	HGNC:1204	Synthetic disease 204	MONDO:7000204	Autosomal dominant	SOP9	Disputed	https://example.org/GENE204	2023-01-01	Synthetic GCEP
GENE205	HGNC:1205	Synthetic disease 205	MONDO:7000205	Autosomal dominant	SOP9	Definitive	https://example.org/GENE205	2023-01-01	Synthetic GCEP
GENE206	HGNC:1206	Synthetic disease 206	MONDO:7000206	Autosomal dominant	SOP9	Strong	https://example.org/GENE206	2023-01-01	Synthetic GCEP
GENE207	HGNC:1207	Synthetic disease 207	MONDO:7000207	Autosomal dominant	SOP9	Moderate	https://example.org/GENE207	2023-01-01	Synthetic GCEP
GENE208	HGNC:1208	Synthetic disease 208	MONDO:7000208	Autosomal dominant	SOP9	Limited	https://example.org/GENE208	2023-01-01	Synthetic GCEP
GENE209	HGNC:1209	Synthetic disease 209	MONDO:7000209	Autosomal dominant	SOP9	Disputed	https://example.org/GENE209	2023-01-01	Synthetic GCEP
GENE210	HGNC:1210	Synthetic disease 210	MONDO:7000210	Autosomal dominant	SOP9	Definitive	https://example.org/GENE210	2023-01-01	Synthetic GCEP
GENE211	HGNC:1211	Synthetic disease 211	MONDO:7000211	Autosomal dominant	SOP9	Strong	https://example.org/GENE211	2023-01-01	Synthetic GCEP
GENE212	HGNC:1212	Synthetic disease 212	MONDO:7000212	Autosomal dominant	SOP9	Moderate	https://example.org/GENE212	2023-01-01	Synthetic GCEP
GENE213	HGNC:1213	Synthetic disease 213	MONDO:7000213	Autosomal dominant	SOP9	Limited	https://example.org/GENE213	2023-01-01	Synthetic GCEP
GENE214	HGNC:1214	Synthetic disease 214	MONDO:7000214	Autosomal dominant	SOP9	Disputed	https://example.org/GENE214	2023-01-01	Synthetic GCEP
GENE215	HGNC:1215	Synthetic disease 215	MONDO:7000215	Autosomal dominant	SOP9	Definitive	https://example.org/GENE215	2023-01-01	Synthetic GCEP
GENE216	HGNC:1216	Synthetic disease 216	MONDO:7000216	Autosomal dominant	SOP9	Strong	https://example.org/GENE216	2023-01-01	Synthetic GCEP
GENE217	HGNC:1217	Synthetic disease 217	MONDO:7000217	Autosomal dominant	SOP9	Moderate	https://example.org/GENE217	2023-01-01	Synthetic GCEP
GENE218	HGNC:1218	Synthetic disease 218	MONDO:7000218	Autosomal dominant	SOP9	Limited	https://example.org/GENE218	2023-01-01	Synthetic GCEP
GENE219	HGNC:1219	Synthetic disease 219	MONDO:7000219	Autosomal dominant	SOP9	Disputed	https://example.org/GENE219	2023-01-01	Synthetic GCEP
GENE220	HGNC:1220	Synthetic disease 220	MONDO:7000220	Autosomal dominant	SOP9	Definitive	https://example.org/GENE220	2023-01-01	Synthetic GCEP
GENE221	HGNC:1221	Synthetic disease 221	MONDO:7000221	Autosomal dominant	SOP9	Strong	https://example.org/GENE221	2023-01-01	Synthetic GCEP
GENE222	HGNC:1222	Synthetic disease 222	MONDO:7000222	Autosomal dominant	SOP9	Moderate	https://example.org/GENE222	2023-01-01	Synthetic GCEP
GENE223	HGNC:1223	Synthetic disease 223	MONDO:7000223	Autosomal dominant	SOP9	Limited	https://example.org/GENE223	2023-01-01	Synthetic GCEP
GENE224	HGNC:1224	Synthetic disease 224	MONDO:7000224	Autosomal dominant	SOP9	Disputed	https://example.org/GENE224	2023-01-01	Synthetic GCEP
GENE225	HGNC:1225	Synthetic disease 225	MONDO:7000225	Autosomal dominant	SOP9	Definitive	https://example.org/GENE225	2023-01-01	Synthetic GCEP
GENE226	HGNC:1226	Synthetic disease 226	MONDO:7000226	Autosomal dominant	SOP9	Strong	https://example.org/GENE226	2023-01-01	Synthetic GCEP
GENE227	HGNC:1227	Synthetic disease 227	MONDO:7000227	Autosomal dominant	SOP9	Moderate	https://example.org/GENE227	2023-01-01	Synthetic GCEP
GENE228	HGNC:1228	Synthetic disease 228	MONDO:7000228	Autosomal dominant	SOP9	Limited	https://example.org/GENE228	2023-01-01	Synthetic GCEP
GENE229	HGNC:1229	Synthetic disease 229	MONDO:7000229	Autosomal dominant	SOP9	Disputed	https://example.org/GENE229	2023-01-01	Synthetic GCEP
GENE230	HGNC:1230	Synthetic disease 230	MONDO:7000230	Autosomal dominant	SOP9	Definitive	https://example.org/GENE230	2023-01-01	Synthetic GCEP
GENE231	HGNC:1231	Synthetic disease 231	MONDO:7000231	Autosomal dominant	SOP9	Strong	https://example.org/GENE231	2023-01-01	Synthetic GCEP
GENE232	HGNC:1232	Synthetic disease 232	MONDO:7000232	Autosomal dominant	SOP9	Moderate	https://example.org/GENE232	2023-01-01	Synthetic GCEP
GENE233	HGNC:1233	Synthetic disease 233	MONDO:7000233	Autosomal dominant	SOP9	Limited	https://example.org/GENE233	2023-01-01	Synthetic GCEP
GENE234	HGNC:1234	Synthetic disease 234	MONDO:7000234	Autosomal dominant	SOP9	Disputed	https://example.org/GENE234	2023-01-01	Synthetic GCEP
GENE235	HGNC:1235	Synthetic disease 235	MONDO:7000235	Autosomal dominant	SOP9	Definitive	https://example.org/GENE235	2023-01-01	Synthetic GCEP
GENE236	HGNC:1236	Synthetic disease 236	MONDO:7000236	Autosomal dominant	SOP9	Strong	https://example.org/GENE236	2023-01-01	Synthetic GCEP
GENE237	HGNC:1237	Synthetic disease 237	MONDO:7000237	Autosomal dominant	SOP9	Moderate	https://example.org/GENE237	2023-01-01	Synthetic GCEP
GENE238	HGNC:1238	Synthetic disease 238	MONDO:7000238	Autosomal dominant	SOP9	Limited	https://example.org/GENE238	2023-01-01	Synthetic GCEP
GENE239	HGNC:1239	Synthetic disease 239	MONDO:7000239	Autosomal dominant	SOP9	Disputed	https://example.org/GENE239	2023-01-01	Synthetic GCEP
GENE240	HGNC:1240	Synthetic disease 240	MONDO:7000240	Autosomal dominant	SOP9	Definitive	https://example.org/GENE240	2023-01-01	Synthetic GCEP
GENE241	HGNC:1241	Synthetic disease 241	MONDO:7000241	Autosomal dominant	SOP9	Strong	https://example.org/GENE241	2023-01-01	Synthetic GCEP
GENE242	HGNC:1242	Synthetic disease 242	MONDO:7000242	Autosomal dominant	SOP9	Moderate	https://example.org/GENE242	2023-01-01	Synthetic GCEP
GENE243	HGNC:1243	Synthetic disease 243	MONDO:7000243	Autosomal dominant	SOP9	Limited	https://example.org/GENE243	2023-01-01	Synthetic GCEP
GENE244	HGNC:1244	Synthetic disease 244	MONDO:7000244	Autosomal dominant	SOP9	Disputed	https://example.org/GENE244	2023-01-01	Synthetic GCEP
GENE245	HGNC:1245	Synthetic disease 245	MONDO:7000245	Autosomal dominant	SOP9	Definitive	https://example.org/GENE245	2023-01-01	Synthetic GCEP
GENE246	HGNC:1246	Synthetic disease 246	MONDO:7000246	Autosomal dominant	SOP9	Strong	https://example.org/GENE246	2023-01-01	Synthetic GCEP
GENE247	HGNC:1247	Synthetic disease 247	MONDO:7000247	Autosomal dominant	SOP9	Moderate	https://example.org/GENE247	2023-01-01	Synthetic GCEP
GENE248	HGNC:1248	Synthetic disease 248	MONDO:7000248	Autosomal dominant	SOP9	Limited	https://example.org/GENE248	2023-01-01	Synthetic GCEP
GENE249	HGNC:1249	Synthetic disease 249	MONDO:7000249	Autosomal dominant	SOP9	Disputed	https://example.org/GENE249	2023-01-01	Synthetic GCEP
GENE250	HGNC:1250	Synthetic disease 250	MONDO:7000250	Autosomal dominant	SOP9	Definitive	https://example.org/GENE250	2023-01-01	Synthetic GCEP
GENE251	HGNC:1251	Synthetic disease 251	MONDO:7000251	Autosomal dominant	SOP9	Strong	https://example.org/GENE251	2023-01-01	Synthetic GCEP
GENE252	HGNC:1252	Synthetic disease 252	MONDO:7000252	Autosomal dominant	SOP9	Moderate	https://example.org/GENE252	2023-01-01	Synthetic GCEP
GENE253	HGNC:1253	Synthetic disease 253	MONDO:7000253	Autosomal dominant	SOP9	Limited	https://example.org/GENE253	2023-01-01	Synthetic GCEP
GENE254	HGNC:1254	Synthetic disease 254	MONDO:7000254	Autosomal dominant	SOP9	Disputed	https://example.org/GENE254	2023-01-01	Synthetic GCEP
GENE255	HGNC:1255	Synthetic disease 255	MONDO:7000255	Autosomal dominant	SOP9	Definitive	https://example.org/GENE255	2023-01-01	Synthetic GCEP
GENE256	HGNC:1256	Synthetic disease 256	MONDO:7000256	Autosomal dominant	SOP9	Strong	https://example.org/GENE256	2023-01-01	Synthetic GCEP
GENE257	HGNC:1257	Synthetic disease 257	MONDO:7000257	Autosomal dominant	SOP9	Moderate	https://example.org/GENE257	2023-01-01	Synthetic GCEP
GENE258	HGNC:1258	Synthetic disease 258	MONDO:7000258	Autosomal dominant	SOP9	Limited	https://example.org/GENE258	2023-01-01	Synthetic GCEP
GENE259	HGNC:1259	Synthetic disease 259	MONDO:7000259	Autosomal dominant	SOP9	Disputed	https://example.org/GENE259	2023-01-01	Synthetic GCEP
GENE260	HGNC:1260	Synthetic disease 260	MONDO:7000260	Autosomal dominant	SOP9	Definitive	https://example.org/GENE260	2023-01-01	Synthetic GCEP
GENE261	HGNC:1261	Synthetic disease 261	MONDO:7000261	Autosomal dominant	SOP9	Strong	https://example.org/GENE261	2023-01-01	Synthetic GCEP
GENE262	HGNC:1262	Synthetic disease 262	MONDO:7000262	Autosomal dominant	SOP9	Moderate	https://example.org/GENE262	2023-01-01	Synthetic GCEP
GENE263	HGNC:1263	Synthetic disease 263	MONDO:7000263	Autosomal dominant	SOP9	Limited	https://example.org/GENE263	2023-01-01	Synthetic GCEP
GENE264	HGNC:1264	Synthetic disease 264	MONDO:7000264	Autosomal dominant	SOP9	Disputed	https://example.org/GENE264	2023-01-01	Synthetic GCEP
GENE265	HGNC:1265	Synthetic disease 265	MONDO:7000265	Autosomal dominant	SOP9	Definitive	https://example.org/GENE265	2023-01-01	Synthetic GCEP
GENE266	HGNC:1266	Synthetic disease 266	MONDO:7000266	Autosomal dominant	SOP9	Strong	https://example.org/GENE266	2023-01-01	Synthetic GCEP
GENE267	HGNC:1267	Synthetic disease 267	MONDO:7000267	Autosomal dominant	SOP9	Moderate	https://example.org/GENE267	2023-01-01	Synthetic GCEP
GENE268	HGNC:1268	Synthetic disease 268	MONDO:7000268	Autosomal dominant	SOP9	Limited	https://example.org/GENE268	2023-01-01	Synthetic GCEP
GENE269	HGNC:1269	Synthetic disease 269	MONDO:7000269	Autosomal dominant	SOP9	Disputed	https://example.org/GENE269	2023-01-01	Synthetic GCEP
GENE270	HGNC:1270	Synthetic disease 270	MONDO:7000270	Autosomal dominant	SOP9	Definitive	https://example.org/GENE270	2023-01-01	Synthetic GCEP
GENE271	HGNC:1271	Synthetic disease 271	MONDO:7000271	Autosomal dominant	SOP9	Strong	https://example.org/GENE271	2023-01-01	Synthetic GCEP
GENE272	HGNC:1272	Synthetic disease 272	MONDO:7000272	Autosomal dominant	SOP9	Moderate	https://example.org/GENE272	2023-01-01	Synthetic GCEP
GENE273	HGNC:1273	Synthetic disease 273	MONDO:7000273	Autosomal dominant	SOP9	Limited	https://example.org/GENE273	2023-01-01	Synthetic GCEP
GENE274	HGNC:1274	Synthetic disease 274	MONDO:7000274	Autosomal dominant	SOP9	Disputed	https://example.org/GENE274	2023-01-01	Synthetic GCEP
GENE275	HGNC:1275	Synthetic disease 275	MONDO:7000275	Autosomal dominant	SOP9	Definitive	https://example.org/GENE275	2023-01-01	Synthetic GCEP
GENE276	HGNC:1276	Synthetic disease 276	MONDO:7000276	Autosomal dominant	SOP9	Strong	https://example.org/GENE276	2023-01-01	Synthetic GCEP
GENE277	HGNC:1277	Synthetic disease 277	MONDO:7000277	Autosomal dominant	SOP9	Moderate	https://example.org/GENE277	2023-01-01	Synthetic GCEP
GENE278	HGNC:1278	Synthetic disease 278	MONDO:7000278	Autosomal dominant	SOP9	Limited	https://example.org/GENE278	2023-01-01	Synthetic GCEP
GENE279	HGNC:1279	Synthetic disease 279	MONDO:7000279	Autosomal dominant	SOP9	Disputed	https://example.org/GENE279	2023-01-01	Synthetic GCEP
GENE280	HGNC:1280	Synthetic disease 280	MONDO:7000280	Autosomal dominant	SOP9	Definitive	https://example.org/GENE280	2023-01-01	Synthetic GCEP
GENE281	HGNC:1281	Synthetic disease 281	MONDO:7000281	Autosomal dominant	SOP9	Strong	https://example.org/GENE281	2023-01-01	Synthetic GCEP
GENE282	HGNC:1282	Synthetic disease 282	MONDO:7000282	Autosomal dominant	SOP9	Moderate	https://example.org/GENE282	2023-01-01	Synthetic GCEP
GENE283	HGNC:1283	Synthetic disease 283	MONDO:7000283	Autosomal dominant	SOP9	Limited	https://example.org/GENE283	2023-01-01	Synthetic GCEP
GENE284	HGNC:1284	Synthetic disease 284	MONDO:7000284	Autosomal dominant	SOP9	Disputed	https://example.org/GENE284	2023-01-01	Synthetic GCEP
GENE285	HGNC:1285	Synthetic disease 285	MONDO:7000285	Autosomal dominant	SOP9	Definitive	https://example.org/GENE285	2023-01-01	Synthetic GCEP
GENE286	HGNC:1286	Synthetic disease 286	MONDO:7000286	Autosomal dominant	SOP9	Strong	https://example.org/GENE286	2023-01-01	Synthetic GCEP
GENE287	HGNC:1287	Synthetic disease 287	MONDO:7000287	Autosomal dominant	SOP9	Moderate	https://example.org/GENE287	2023-01-01	Synthetic GCEP
GENE288	HGNC:1288	Synthetic disease 288	MONDO:7000288	Autosomal dominant	SOP9	Limited	https://example.org/GENE288	2023-01-01	Synthetic GCEP
GENE289	HGNC:1289	Synthetic disease 289	MONDO:7000289	Autosomal dominant	SOP9	Disputed	https://example.org/GENE289	2023-01-01	Synthetic GCEP
GENE290	HGNC:1290	Synthetic disease 290	MONDO:7000290	Autosomal dominant	SOP9	Definitive	https://example.org/GENE290	2023-01-01	Synthetic GCEP
GENE291	HGNC:1291	Synthetic disease 291	MONDO:7000291	Autosomal dominant	SOP9	Strong	https://example.org/GENE291	2023-01-01	Synthetic GCEP
GENE292	HGNC:1292	Synthetic disease 292	MONDO:7000292	Autosomal dominant	SOP9	Moderate	https://example.org/GENE292	2023-01-01	Synthetic GCEP
GENE293	HGNC:1293	Synthetic disease 293	MONDO:7000293	Autosomal dominant	SOP9	Limited	https://example.org/GENE293	2023-01-01	Synthetic GCEP
GENE294	HGNC:1294	Synthetic disease 294	MONDO:7000294	Autosomal dominant	SOP9	Disputed	https://example.org/GENE294	2023-01-01	Synthetic GCEP
GENE295	HGNC:1295	Synthetic disease 295	MONDO:7000295	Autosomal dominant	SOP9	Definitive	https://example.org/GENE295	2023-01-01	Synthetic GCEP
GENE296	HGNC:1296	Synthetic disease 296	MONDO:7000296	Autosomal dominant	SOP9	Strong	https://example.org/GENE296	2023-01-01	Synthetic GCEP
GENE297	HGNC:1297	Synthetic disease 297	MONDO:7000297	Autosomal dominant	SOP9	Moderate	https://example.org/GENE297	2023-01-01	Synthetic GCEP
GENE298	HGNC:1298	Synthetic disease 298	MONDO:7000298	Autosomal dominant	SOP9	Limited	https://example.org/GENE298	2023-01-01	Synthetic GCEP
GENE299	HGNC:1299	Synthetic disease 299	MONDO:7000299	Autosomal dominant	SOP9	Disputed	https://example.org/GENE299	2023-01-01	Synthetic GCEP
